,ID,jobtitle,COMPANY_NAME,location,QUALIFICATIONS,SKILLS,JOBTYPE
0,ID0,ML/AI Engineer,YOROSIS Technologies,"Coimbatore, Tamil Nadu",,"['text extraction', 'Natural Language Models.', 'NLP', 'Computer Vision.']","['Full-time, Regular / Permanent']"
1,ID1,Data Analyst (AI/ML),Mallow Technologies,"Coimbatore, Tamil Nadu","['3 to 6 years of relevant experience', 'Senior Data Analyst']","['Data Analytics', 'feedback loop', 'Python', 'Deep Learning', 'R', 'Microsoft Power BI', 'training', 'Good communication skills', 'machine learning'] ",['Part-time']
2,ID2,AI ML Developers for Interior Monitoring Systems product,Bosch Group,"Coimbatore, Tamil Nadu","['Degree in AI/ML/Data Science', 'B.Tech, M.Tech, Ph.D in Computer Science with AI ML Skills & Requirements']","['Model, Algorithm development', 'Good knowledge in C/C++ and Linux/QNX', 'developing interior sensing algorithms', 'Experience in image processing, graphics programming, AI/ML', 'Embedded Software development', 'Scripting languages like Python']",['work-from-home']
3,ID3,Solution architect,Ultrafly Solutions private limited,"Coimbatore, Tamil Nadu",['Bachelorâ€™s or Masterâ€™s degree in Computer Science or related field from a top university.'],"['Full Stack developer', 'Elasticsearch', 'architecture direction', 'software design and architecture', 'Python', 'Computer Science fundamentals', 'Kotlin', 'right level conversations', 'Typescript', 'negotiation skills.', 'NodeJS', 'Android', 'Java', 'AI/ML/eCommerce/Digital Health/Marketplaces/Blockchain technologies/solutions', 'architecture', 'dynamic presentation', 'cloud', 'Presentation skills', 'prototyping', 'Distributed Computing', 'NextJS', 'communication', 'ReactJS', 'hands-on', 'problem-solving skills.', 'Golang', 'communication skills', 'influencing', 'Redis', 'Graphql', 'agile methodologies', 'HTTP and SSL Proxy, Security Web Gateway, Cloud Access Security Broker, Next-Generation Firewall, Intrusion Prevention System, Server Load Balancing, Virtual Private Networks, Public Key Infrastructure (PKI), Kubernetes, VM and Container Networking;', 'architecting', 'collaboration']","['Full-time, Regular / Permanent']"
4,ID4,Sr.Data Analytics,Sharadha Terry Products Private Limited,"Coimbatore, Tamil Nadu","['Minimum 3 years in manufacturing company', 'UG in Engineering degree preferably mechanical Experience']","['good understanding of Data warehousing', 'scripting languages', 'Power Bi', 'Python', 'Predictive analytics', 'Cloud AWS', 'R', 'Data analytics', 'Analytical skills', 'Tableau.', 'data visualization', 'Microsoft Azure.', 'Data analysis', 'HTML', 'Statistical analysis', 'Data visualization', 'Power BI', 'Good communication', 'QlikView,', 'Power BI.', 'Azure technologies.', 'TypeScript', 'Critical thinking', 'Problem-solving', 'Presentation skills', 'write basic DAX queries in Power BI', 'SQL', 'React/Angular', 'Diagnostic analytics', 'scripting/Shell script/Python', 'Dashboards.', 'Power BI reports', 'Tableau', 'Hadoop', 'Alteryx', 'Strong design skills', 'Oracle', 'D3', 'attention to detail', 'ETL tools and methods', 'Relational database concepts & technologies.', 'BI tools']",['Full-time']
5,ID5,Digital Marketing Executive,VMax Wellness,"Coimbatore, Tamil Nadu",['1 to 2 years of hands-on working experience in Digital Marketing. Skills'],"['graphic design', 'Zapier', 'Project Management', 'LinkedIn and social scheduling', 'CRM', 'Digital Marketing tools', 'Google Sheets', 'Data Analytics.', 'Good communication', 'understanding of website design or development']","['Full time Working Hours', 'Onsite Job Location']"
6,ID6,Solution Architect,Ultrafly solutions Pvt Ltd,"Coimbatore, Tamil Nadu",,"['Full Stack developer', 'AI/ML/eCommerce/Digital Health/Marketplaces/Blockchain technologies/solutions.', 'Elasticsearch', 'architecture direction', 'software design and architecture', 'Python', 'Kotlin', 'Typescript', 'NodeJS', 'Android', 'Java', 'dynamic presentation', 'NextJS', 'ReactJS', 'influencing', 'Golang', 'Redis', 'negotiating.', 'Graphql', 'agile methodologies', 'Distributed Computing.']",['Full-time']
7,ID7,SW Engineer-AUTOSAR Architecture,Unusual Hire,"Coimbatore, Tamil Nadu",,"['Change management tools', 'ALM/GitHub', 'DOORS/DNG', 'Rhapsody/Enterprise Architect', 'AGILE Software development', 'Communication', 'Configuration management tools', 'Strong debugging and analytical thinking skills', 'management tools', 'English Freelancer type', 'Interpersonal skills Qualifications B.E (EEE/ECE/E&I/CS)', 'ALM/RQ1', 'UML based tools']",
